player_id,last_name,first_name,bacon_number,max_year,v0,e1,v1,e2,v2,e3,v3,e4,v4,e5,v5,e6,v6,e7,v7,e8,v8,e9,v9,e10,v10
dumog101,Dumont,George,,1919,dumog101,,,,,,,,,,,,,,,,,,,,
russp101,Russell,Paul,,1894,russp101,,,,,,,,,,,,,,,,,,,,
delar001,DeLaMaza,Roland,,1997,delar001,,,,,,,,,,,,,,,,,,,,
truaf101,Truax,Fred,,1890,truaf101,,,,,,,,,,,,,,,,,,,,
krakj101,Krakauskas,Joe,,1946,krakj101,,,,,,,,,,,,,,,,,,,,
carap101,Caraway,Pat,,1932,carap101,,,,,,,,,,,,,,,,,,,,
janov101,Janowicz,Vic,,1954,janov101,,,,,,,,,,,,,,,,,,,,
relad001,Relaford,Desi,,2007,relad001,,,,,,,,,,,,,,,,,,,,
davir102,Davis,Ron,,1969,davir102,,,,,,,,,,,,,,,,,,,,
sextt101,Sexton,Tom,,1884,sextt101,,,,,,,,,,,,,,,,,,,,
burkt001,Burke,Tim,,1992,burkt001,,,,,,,,,,,,,,,,,,,,
heatm001,Heath,Mike,,1991,heatm001,,,,,,,,,,,,,,,,,,,,
phelb101,Phelps,Babe,,1942,phelb101,,,,,,,,,,,,,,,,,,,,
shiet001,Shields,Tommy,,1993,shiet001,,,,,,,,,,,,,,,,,,,,
clarb103,Clarke,Boileryard,,1905,clarb103,,,,,,,,,,,,,,,,,,,,
villr001,Villone,Ron,,2009,villr001,,,,,,,,,,,,,,,,,,,,
reedm001,Reed,Michael,,2019,reedm001,,,,,,,,,,,,,,,,,,,,
pfanb101,Pfann,Bill,,1894,pfanb101,,,,,,,,,,,,,,,,,,,,
teedd101,Teed,Dick,,1953,teedd101,,,,,,,,,,,,,,,,,,,,
olivd102,Oliver,Dave,,1977,olivd102,,,,,,,,,,,,,,,,,,,,
farij001,Faria,Jacob,,2019,farij001,,,,,,,,,,,,,,,,,,,,
schub001,Schultz,Bo,,2016,schub001,,,,,,,,,,,,,,,,,,,,
sanfj101,Sanford,Jack,,1967,sanfj101,,,,,,,,,,,,,,,,,,,,
tayls102,Taylor,Sammy,,1963,tayls102,,,,,,,,,,,,,,,,,,,,
lisir101,Lisi,Rick,,1981,lisir101,,,,,,,,,,,,,,,,,,,,
conne102,Connolly,Ed,,1967,conne102,,,,,,,,,,,,,,,,,,,,
moylp001,Moylan,Peter,,2018,moylp001,,,,,,,,,,,,,,,,,,,,
paddt101,Padden,Tom,,1943,paddt101,,,,,,,,,,,,,,,,,,,,
river003,Rivera,Rene,,2019,river003,,,,,,,,,,,,,,,,,,,,
harrb113,Harrison,Ben,,1901,harrb113,,,,,,,,,,,,,,,,,,,,
prenj101,Prendergast,Jim,,1948,prenj101,,,,,,,,,,,,,,,,,,,,
roset001,Rosenthal,Trevor,,2019,roset001,,,,,,,,,,,,,,,,,,,,
woodr102,Woods,Ron,,1974,woodr102,,,,,,,,,,,,,,,,,,,,
adamd103,Adams,Dan,,1915,adamd103,,,,,,,,,,,,,,,,,,,,
diazm001,Diaz,Mike,,1988,diazm001,,,,,,,,,,,,,,,,,,,,
coonw101,Coon,William,,1876,coonw101,,,,,,,,,,,,,,,,,,,,
canoj001,Cano,Jose,,1989,canoj001,,,,,,,,,,,,,,,,,,,,
foucs101,Foucault,Steve,,1978,foucs101,,,,,,,,,,,,,,,,,,,,
doutt101,Douthit,Taylor,,1933,doutt101,,,,,,,,,,,,,,,,,,,,
herre001,Herrera,Elian,,2015,herre001,,,,,,,,,,,,,,,,,,,,
river002,Rivera,Ruben,,2003,river002,,,,,,,,,,,,,,,,,,,,
buskt101,Buskey,Tom,,1980,buskt101,,,,,,,,,,,,,,,,,,,,
schms001,Schmoll,Steve,,2005,schms001,,,,,,,,,,,,,,,,,,,,
johnr104,Johnson,Rankin,,1918,johnr104,,,,,,,,,,,,,,,,,,,,
needt101,Needham,Tom,,1914,needt101,,,,,,,,,,,,,,,,,,,,
sowdb101,Sowders,Bill,,1890,sowdb101,,,,,,,,,,,,,,,,,,,,
kellg101,Kelly,High Pockets,,1932,kellg101,,,,,,,,,,,,,,,,,,,,
blaiw001,Blair,Willie,,2001,blaiw001,,,,,,,,,,,,,,,,,,,,
morrb002,Morris,Bryan,,2017,morrb002,,,,,,,,,,,,,,,,,,,,
terlg101,Terlecky,Greg,,1975,terlg101,,,,,,,,,,,,,,,,,,,,
deanh101,Deane,Harry,,1874,deanh101,,,,,,,,,,,,,,,,,,,,
gillc001,Gillaspie,Conor,,2017,gillc001,,,,,,,,,,,,,,,,,,,,
currp102,Curran,John,,1876,currp102,,,,,,,,,,,,,,,,,,,,
eagab101,Eagan,Bill,,1898,eagab101,,,,,,,,,,,,,,,,,,,,
currs001,Curry,Steve,,1988,currs001,,,,,,,,,,,,,,,,,,,,
dozit001,Dozier,Tom,,1986,dozit001,,,,,,,,,,,,,,,,,,,,
huntb105,Hunter,Billy,,1958,huntb105,,,,,,,,,,,,,,,,,,,,
wilsb001,Wilson,Brian,,2014,wilsb001,,,,,,,,,,,,,,,,,,,,
phila101,Phillips,Adolfo,,1972,phila101,,,,,,,,,,,,,,,,,,,,
marqi001,Marquez,Isidro,,1995,marqi001,,,,,,,,,,,,,,,,,,,,
hughl001,Hughes,Luke,,2012,hughl001,,,,,,,,,,,,,,,,,,,,
shaba001,Shabala,Adam,,2005,shaba001,,,,,,,,,,,,,,,,,,,,
browj102,Brown,Joe,,1927,browj102,,,,,,,,,,,,,,,,,,,,
gilbj101,Gilbert,Jack,,1904,gilbj101,,,,,,,,,,,,,,,,,,,,
mcfab101,McFadden,Barney,,1902,mcfab101,,,,,,,,,,,,,,,,,,,,
fonvc001,Fonville,Chad,,1999,fonvc001,,,,,,,,,,,,,,,,,,,,
brewt001,Brewer,Tony,,1984,brewt001,,,,,,,,,,,,,,,,,,,,
leonm101,Leon,Max,,1978,leonm101,,,,,,,,,,,,,,,,,,,,
clevr101,Cleveland,Reggie,,1981,clevr101,,,,,,,,,,,,,,,,,,,,
hudsj101,Hudson,Johnny,,1945,hudsj101,,,,,,,,,,,,,,,,,,,,
harpj102,Harper,Jack,,1906,harpj102,,,,,,,,,,,,,,,,,,,,
giggb101,Giggie,Bob,,1962,giggb101,,,,,,,,,,,,,,,,,,,,
sigmt101,Sigman,Tripp,,1930,sigmt101,,,,,,,,,,,,,,,,,,,,
seavt001,Seaver,Tom,,1986,seavt001,,,,,,,,,,,,,,,,,,,,
bruca101,Bruckmiller,Andy,,1905,bruca101,,,,,,,,,,,,,,,,,,,,
butle001,Butler,Eddie,,2018,butle001,,,,,,,,,,,,,,,,,,,,
kommb001,Komminsk,Brad,,1991,kommb001,,,,,,,,,,,,,,,,,,,,
campj105,Campanis,Jim,,1973,campj105,,,,,,,,,,,,,,,,,,,,
hansa101,Hansen,Andy,,1953,hansa101,,,,,,,,,,,,,,,,,,,,
sweed001,Sweeney,Darnell,,2018,sweed001,,,,,,,,,,,,,,,,,,,,
readr001,Ready,Randy,,1995,readr001,,,,,,,,,,,,,,,,,,,,
emerc102,Emerson,Chester,,1912,emerc102,,,,,,,,,,,,,,,,,,,,
sobks001,Sobkowiak,Scott,,2001,sobks001,,,,,,,,,,,,,,,,,,,,
britd001,Britton,Drake,,2014,britd001,,,,,,,,,,,,,,,,,,,,
thurm001,Thurmond,Mark,,1990,thurm001,,,,,,,,,,,,,,,,,,,,
micem101,Micelotta,Mickey,,1955,micem101,,,,,,,,,,,,,,,,,,,,
clutb001,Clutterbuck,Bryan,,1989,clutb001,,,,,,,,,,,,,,,,,,,,
coatj001,Coats,Jason,,2016,coatj001,,,,,,,,,,,,,,,,,,,,
hubbm001,Hubbard,Mike,,2001,hubbm001,,,,,,,,,,,,,,,,,,,,
gland001,Glanville,Doug,,2004,gland001,,,,,,,,,,,,,,,,,,,,
power101,Powell,Ray,,1924,power101,,,,,,,,,,,,,,,,,,,,
shoec101,Shoemaker,Charlie,,1964,shoec101,,,,,,,,,,,,,,,,,,,,
kellk002,Keller,Kris,,2002,kellk002,,,,,,,,,,,,,,,,,,,,
covej101,Coveney,Jack,,1903,covej101,,,,,,,,,,,,,,,,,,,,
blakh101,Blake,Harry,,1899,blakh101,,,,,,,,,,,,,,,,,,,,
parrj003,Parrish,John,,2010,parrj003,,,,,,,,,,,,,,,,,,,,
hemos001,Hemond,Scott,,1995,hemos001,,,,,,,,,,,,,,,,,,,,
richj102,Richmond,John,,1885,richj102,,,,,,,,,,,,,,,,,,,,
gil-g101,Gil,Gus,,1971,gil-g101,,,,,,,,,,,,,,,,,,,,
bolsm001,Bolsinger,Mike,,2017,bolsm001,,,,,,,,,,,,,,,,,,,,
foraj101,Foran,Jim,0,1871,foraj101,PLAYED_IN,first_game,,,,,,,,,,,,,,,,,,
leitm001,Leiter,Mark,,2001,leitm001,,,,,,,,,,,,,,,,,,,,
priec001,Prieto,Chris,,2005,priec001,,,,,,,,,,,,,,,,,,,,
tomay001,Tomas,Yasmany,,2019,tomay001,,,,,,,,,,,,,,,,,,,,
stanc002,Stanley,Cody,,2015,stanc002,,,,,,,,,,,,,,,,,,,,
miljj101,Miljus,Johnny,,1929,miljj101,,,,,,,,,,,,,,,,,,,,
petta002,Pettyjohn,Adam,,2008,petta002,,,,,,,,,,,,,,,,,,,,
quirr001,Quirico,Rafael,,1996,quirr001,,,,,,,,,,,,,,,,,,,,
burgh001,Burgos,Hiram,,2013,burgh001,,,,,,,,,,,,,,,,,,,,
stecd001,Steckenrider,Drew,,2019,stecd001,,,,,,,,,,,,,,,,,,,,
lembs101,Lembo,Steve,,1952,lembs101,,,,,,,,,,,,,,,,,,,,
blace103,Blackaby,Ethan,,1964,blace103,,,,,,,,,,,,,,,,,,,,
addib101,Addis,Bob,,1953,addib101,,,,,,,,,,,,,,,,,,,,
furbc001,Furbush,Charlie,,2015,furbc001,,,,,,,,,,,,,,,,,,,,
snydk001,Snyder,Kyle,,2008,snydk001,,,,,,,,,,,,,,,,,,,,
verer001,Veres,Randy,,1997,verer001,,,,,,,,,,,,,,,,,,,,
speeh101,Speed,Horace,,1979,speeh101,,,,,,,,,,,,,,,,,,,,
moris001,Morimando,Shawn,,2016,moris001,,,,,,,,,,,,,,,,,,,,
kuehb101,Kuehne,Bill,,1892,kuehb101,,,,,,,,,,,,,,,,,,,,
mitck001,Mitchell,Kevin,,1998,mitck001,,,,,,,,,,,,,,,,,,,,
beckg001,Beckham,Gordon,,2019,beckg001,,,,,,,,,,,,,,,,,,,,
peith101,Peitz,Heinie,,1913,peith101,,,,,,,,,,,,,,,,,,,,
keplm001,Kepler,Max,,2019,keplm001,,,,,,,,,,,,,,,,,,,,
wrigj103,Wright,Jim,,1979,wrigj103,,,,,,,,,,,,,,,,,,,,
barkr102,Barker,Ray,,1967,barkr102,,,,,,,,,,,,,,,,,,,,
boesb001,Boesch,Brennan,,2015,boesb001,,,,,,,,,,,,,,,,,,,,
peraj002,Peralta,Joel,,2016,peraj002,,,,,,,,,,,,,,,,,,,,
vintb101,Vinton,Bill,,1885,vintb101,,,,,,,,,,,,,,,,,,,,
lindm001,Lindstrom,Matt,,2014,lindm001,,,,,,,,,,,,,,,,,,,,
barnf102,Barnes,Frank,,1960,barnf102,,,,,,,,,,,,,,,,,,,,
farrk101,Farrell,Kerby,,1945,farrk101,,,,,,,,,,,,,,,,,,,,
sieve101,Siever,Ed,,1908,sieve101,,,,,,,,,,,,,,,,,,,,
loanb101,Loane,Bob,,1940,loanb101,,,,,,,,,,,,,,,,,,,,
campf101,Campos,Frank,,1953,campf101,,,,,,,,,,,,,,,,,,,,
trama001,Trammell,Alan,,1996,trama001,,,,,,,,,,,,,,,,,,,,
madrw001,Madrigal,Warner,,2009,madrw001,,,,,,,,,,,,,,,,,,,,
murpl102,Murphy,Larry,,1891,murpl102,,,,,,,,,,,,,,,,,,,,
hendb102,Henderson,Bill,,1930,hendb102,,,,,,,,,,,,,,,,,,,,
wallc001,Wallach,Chad,,2019,wallc001,,,,,,,,,,,,,,,,,,,,
ferrj101,Ferry,Jack,,1913,ferrj101,,,,,,,,,,,,,,,,,,,,
mallb001,Malloy,Bob,,1990,mallb001,,,,,,,,,,,,,,,,,,,,
leibc001,Leibrandt,Charlie,,1993,leibc001,,,,,,,,,,,,,,,,,,,,
willr003,Williams,Randy,,2011,willr003,,,,,,,,,,,,,,,,,,,,
britj102,Brittin,Jack,,1951,britj102,,,,,,,,,,,,,,,,,,,,
mckad001,McKay,David,,2019,mckad001,,,,,,,,,,,,,,,,,,,,
meadd001,Meads,Dave,,1988,meadd001,,,,,,,,,,,,,,,,,,,,
mccoj103,McCormick,Jim,,1887,mccoj103,,,,,,,,,,,,,,,,,,,,
remeb101,Rementer,Butch,,1904,remeb101,,,,,,,,,,,,,,,,,,,,
coggr101,Coggins,Rich,,1976,coggr101,,,,,,,,,,,,,,,,,,,,
clard002,Clark,Doug,,2006,clard002,,,,,,,,,,,,,,,,,,,,
krugg101,Krug,Gene,,1981,krugg101,,,,,,,,,,,,,,,,,,,,
suttb001,Sutter,Bruce,,1988,suttb001,,,,,,,,,,,,,,,,,,,,
lundd101,Lundgren,Del,,1927,lundd101,,,,,,,,,,,,,,,,,,,,
