team_id,year_id,name,lg_id
CL41889,1889,Cleveland Spiders,NL
CL61889,1889,Columbus Solons,AA
CN21889,1889,Cincinnati Red Stockings,AA
IN31889,1889,Indianapolis Hoosiers,NL
KC21889,1889,Kansas City Cowboys,AA
LS21889,1889,Louisville Colonels,AA
NY11889,1889,New York Giants,NL
PH41889,1889,Philadelphia Athletics,AA
PHI1889,1889,Philadelphia Quakers,NL
PIT1889,1889,Pittsburg Alleghenys,NL
SL41889,1889,St. Louis Browns,AA
WS81889,1889,Washington Nationals,NL
BFP1890,1890,Buffalo Bisons,PL
BL31890,1890,Baltimore Orioles,AA
BR41890,1890,Brooklyn Gladiators,AA
BRO1890,1890,Brooklyn Bridegrooms,NL
BRP1890,1890,Brooklyn Ward's Wonders,PL
BSN1890,1890,Boston Beaneaters,NL
BSP1890,1890,Boston Reds,PL
CHN1890,1890,Chicago Colts,NL
CHP1890,1890,Chicago Pirates,PL
CIN1890,1890,Cincinnati Reds,NL
CL41890,1890,Cleveland Spiders,NL
CL61890,1890,Columbus Solons,AA
CLP1890,1890,Cleveland Infants,PL
LS21890,1890,Louisville Colonels,AA
NY11890,1890,New York Giants,NL
NYP1890,1890,New York Giants,PL
PH41890,1890,Philadelphia Athletics,AA
PHI1890,1890,Philadelphia Phillies,NL
PHP1890,1890,Philadelphia Athletics,PL
PIT1890,1890,Pittsburg Alleghenys,NL
PTP1890,1890,Pittsburgh Burghers,PL
RC21890,1890,Rochester Broncos,AA
SL41890,1890,St. Louis Browns,AA
SR21890,1890,Syracuse Stars,AA
TL21890,1890,Toledo Maumees,AA
BL31891,1891,Baltimore Orioles,AA
BRO1891,1891,Brooklyn Grooms,NL
BS21891,1891,Boston Reds,AA
BSN1891,1891,Boston Beaneaters,NL
CHN1891,1891,Chicago Colts,NL
CIN1891,1891,Cincinnati Reds,NL
CL41891,1891,Cleveland Spiders,NL
CL61891,1891,Columbus Solons,AA
CN31891,1891,Cincinnati Kelly's Killers,AA
LS21891,1891,Louisville Colonels,AA
ML31891,1891,Milwaukee Brewers,AA
NY11891,1891,New York Giants,NL
PH41891,1891,Philadelphia Athletics,AA
PHI1891,1891,Philadelphia Phillies,NL
PIT1891,1891,Pittsburgh Pirates,NL
SL41891,1891,St. Louis Browns,AA
WS91891,1891,Washington Statesmen,AA
BLN1892,1892,Baltimore Orioles,NL
BRO1892,1892,Brooklyn Grooms,NL
BSN1892,1892,Boston Beaneaters,NL
